ID,pH Tanah,N Total (%),P Tersedia (ppm),K Tersedia (meq/100g),C Organik (%),KTK (meq/100g),Kejenuhan Basa (%),Tekstur Tanah,Kadar Air (%),Bulk Density (g/cm³),Label
870,8.38,0.033,3.7,0.259,1.67,9.08,58.7,Debu,70.65,1.798,Tidak Subur
871,6.28,0.244,48.24,0.312,4.01,21.41,66.08,Lempung Berliat,,1.112,Subur
872,3.66,0.081,8.45,0.28,1.26,10.61,39.96,Pasir,17.47,1.852,Tidak Subur
873,8.47,0.086,12.47,0.124,0.91,5.49,54.16,Debu,61.94,1.441,Tidak Subur
874,5.11,0.051,5.98,,,10.49,42.15,Debu,16.18,1.82,Tidak Subur
875,7.13,0.453,23.76,0.658,4.4,35.51,79.37,Lempung,42.17,1.115,Subur
876,6.84,0.466,,0.553,4.66,35.26,60.34,Lempung,33.26,1.091,Subur
877,7.41,0.431,46.24,0.707,2.98,33.46,67.91,Lempung,25.81,1.069,Subur
878,7.49,0.278,31.85,,2.56,23.49,63.53,Lempung Berpasir,37.12,1.185,Subur
879,6.74,0.386,,0.671,4.93,42.8,74.82,Lempung Berliat,31.89,,Subur
880,3.6,0.148,5.87,0.215,1.85,12.65,26.09,Debu,8.93,1.422,Tidak Subur
881,8.48,0.19,3.35,0.184,,10.86,55.12,Liat,61.86,1.596,Tidak Subur
882,3.69,0.075,4.8,0.147,,17.47,40.51,Pasir,19.61,1.519,Tidak Subur
883,7.9,0.061,,,1.54,8.49,34.42,Debu,,1.745,Tidak Subur
884,3.52,0.102,13.67,0.212,0.57,15.82,31.62,Pasir,19.36,1.867,Tidak Subur
885,7.2,0.27,56.68,0.475,2.85,41.07,79.29,Lempung,,1.091,Subur
886,8.58,,13.13,0.194,0.87,6.17,35.04,Pasir,68.55,1.634,Tidak Subur
887,7.09,0.249,39.59,0.709,3.65,23.58,93.7,Lempung,25.23,1.161,Subur
888,4.17,0.173,,0.144,0.83,11.58,36.61,Pasir,10.76,1.688,Tidak Subur
889,6.15,0.498,42.35,0.576,4.49,35.46,95.74,Lempung,36.08,0.992,Subur
890,6.75,0.407,46.96,0.592,2.28,34.54,64.34,Lempung Berpasir,,1.188,Subur
891,8.47,0.081,7.09,0.162,1.04,5.8,33.56,Liat,69.35,1.823,Tidak Subur
892,5.09,0.1,9.4,0.129,0.35,9,39.25,Pasir,7,1.735,Tidak Subur
893,6.6,0.496,34.65,0.353,2.94,37.95,81.29,Lempung,25.26,1.108,Subur
894,7.18,0.357,16.05,0.612,4.87,27.74,78.61,Lempung Berpasir,30.07,1.065,Subur
895,6.8,0.326,58.47,,2.99,34.69,96.27,Lempung,41.01,,Subur
896,4.01,0.046,1.57,0.206,0.27,15.27,21.7,Pasir,18.25,1.473,Tidak Subur
897,7.38,0.214,23.55,0.584,3.9,24.09,81.07,Lempung,34.53,1.179,Subur
898,3.87,0.09,4.49,0.163,,7.74,32.24,Debu,13.84,1.756,Tidak Subur
899,7.38,0.404,19.59,0.344,2.95,40.97,89.14,Lempung,44.01,1.158,Subur
900,6.19,0.442,15.25,,3.19,39.36,94.72,Lempung,40.43,,Subur
901,7.2,0.313,,0.433,4.64,36.2,82.64,Lempung,41.56,1.084,Subur
902,4.09,0.187,8.94,0.28,1.73,8.27,43.42,Pasir,6.35,1.728,Tidak Subur
903,8.71,0.139,,0.198,0.33,8.71,32.01,Debu,73.44,1.465,Tidak Subur
904,7.33,0.497,51.99,0.591,4.55,34.42,88.37,Lempung,26.04,0.968,Subur
905,6.74,0.439,40.26,0.785,2.87,34.79,65.08,Lempung,30.37,0.995,Subur
906,8.77,0.079,1.75,0.053,1.58,8.87,44.3,Debu,71.62,1.436,Tidak Subur
907,8.69,0.041,5.4,0.285,0.77,5.36,11.97,Pasir,69.18,1.769,Tidak Subur
908,6.33,0.354,,0.711,2.65,32.87,90.25,Lempung,37.17,1.124,Subur
909,4.13,0.036,2.04,,0.35,15.45,10.02,Liat,,1.502,Tidak Subur
910,3.94,0.044,2.01,0.08,,13.41,13.29,Liat,,1.499,Tidak Subur
911,5.07,0.099,9.01,0.268,1.38,13.3,53.11,,13.21,1.689,Tidak Subur
912,7.99,0.117,5.34,0.119,1,8.23,44.61,Pasir,62.7,1.537,Tidak Subur
913,5.22,0.079,7.07,0.186,1.88,15.08,26.91,Liat,12.58,1.496,Tidak Subur
914,4.07,0.061,10.95,0.139,0.79,5.81,24.51,Liat,6.95,1.609,Tidak Subur
915,6.14,0.257,,0.328,3.82,23.7,70.19,Lempung Berpasir,32.53,1.188,Subur
916,6.86,0.411,32.91,0.486,2.66,23.26,83.84,Lempung Berliat,,0.941,Subur
917,6.05,0.325,42.49,0.333,3.62,27.05,65.71,Lempung Berpasir,44.39,1.054,Subur
918,3.55,,,0.086,1.77,6.88,43.77,Liat,13.26,1.611,Tidak Subur
919,8.72,0.159,,0.052,1.2,6.56,12.12,Pasir,69.96,1.686,Tidak Subur
920,7.69,0.023,7.42,0.193,1.11,14.52,13.37,Pasir,67.9,1.535,Tidak Subur
921,8.85,0.166,9.82,0.164,1.51,11.01,24.21,,,1.846,Tidak Subur
922,5.19,0.091,5.39,0.142,1.54,5.69,22.76,Pasir,14.45,1.826,Tidak Subur
923,7.08,0.284,35.05,0.629,2.72,40.58,99.57,Lempung Berliat,40.46,1.02,Subur
924,6.95,0.275,,0.642,2.82,35.75,98.72,Lempung Berliat,25.98,1.143,Subur
925,6.56,0.496,41.71,0.457,4.48,31.25,83.85,Lempung Berpasir,34.36,1.095,Subur
926,8.08,0.186,4.45,0.107,0.43,8.63,19.13,Pasir,63.72,1.618,Tidak Subur
927,7.18,0.259,55.77,0.569,4.02,21.63,60.23,Lempung Berpasir,32.76,0.931,Subur
928,7.42,0.382,53.18,,3.12,36.66,96.43,Lempung,41.58,0.964,Subur
929,6.89,0.285,52.75,0.487,2.37,21.25,89.95,Lempung Berliat,31.57,1.046,Subur
930,8.85,0.185,2.52,0.263,1.23,6.47,19.78,Debu,67.88,1.581,Tidak Subur
931,5.02,0.05,8.17,0.106,1.19,15.37,45.74,Debu,10.59,1.6,Tidak Subur
932,8.48,0.181,9.3,,1.89,13.54,49.46,Debu,59.73,1.478,Tidak Subur
933,3.92,0.096,3.45,0.165,0.28,8.26,45.72,Liat,19.98,1.893,Tidak Subur
934,7.78,0.197,6.85,0.152,1.56,5.64,41.04,Debu,67.94,1.75,Tidak Subur
935,6.78,0.457,18.57,0.671,4.19,35.08,76.42,Lempung Berliat,32.92,1.098,Subur
936,6.08,0.273,,0.649,3.25,44.41,61.64,Lempung,44.14,1.099,Subur
937,6.48,0.463,27.39,0.689,3.45,39.85,61.58,Lempung,32.76,0.974,Subur
938,3.77,,5.44,0.124,,8.82,46.83,Debu,17.15,1.801,Tidak Subur
939,6.17,0.499,45.9,0.397,,27.58,80.35,Lempung Berpasir,33.64,1.115,Subur
940,5.08,0.138,3,0.084,,9.67,19.69,Pasir,16.7,1.517,Tidak Subur
941,7.67,0.142,2.96,0.053,1.17,6.5,13.05,Liat,55.35,1.757,Tidak Subur
942,4.2,0.068,7.09,0.077,0.39,5.31,46.92,Pasir,14.92,1.412,Tidak Subur
943,6.89,0.296,,0.48,4.73,23.01,69.42,Lempung,36.72,1.079,Subur
944,3.68,0.118,13.94,0.19,0.68,8.03,50.45,,8.72,1.58,Tidak Subur
945,5.14,0.19,13.06,0.215,,8.07,20.88,Debu,9.08,1.622,Tidak Subur
946,8.59,,11.4,0.067,1.06,16.91,43.69,Liat,,1.404,Tidak Subur
947,8.82,0.168,6.47,0.281,1.21,7.12,57.93,Debu,60.18,1.464,Tidak Subur
948,8.3,,3.93,0.084,1.62,7.48,53.96,,,1.596,Tidak Subur
949,6.89,0.299,25.37,0.32,4.65,30.16,76.64,Lempung Berliat,39.65,0.998,Subur
950,8.82,0.055,11.41,0.192,0.94,10.15,48.98,Debu,67.34,1.875,Tidak Subur
951,5.06,0.147,,0.055,,8.83,35.88,Liat,7.72,1.698,Tidak Subur
952,6.63,0.401,43.64,0.37,2.26,30.99,78.67,Lempung,42.28,1.001,Subur
953,5,0.077,2.36,0.091,1.48,8.65,42.96,Debu,13.41,1.432,Tidak Subur
954,6.23,0.234,33.98,0.702,3.22,23.57,85.91,Lempung,42.16,1.095,Subur
955,7.94,0.134,6.55,0.241,0.83,17.65,34.08,Debu,62.14,1.59,Tidak Subur
956,3.69,0.153,2.89,0.259,,10.58,27.12,Debu,7.34,1.561,Tidak Subur
957,8.66,0.068,9.17,0.28,0.47,17.92,22.51,Pasir,67.32,1.649,Tidak Subur
958,6.28,0.357,20.68,0.353,2.28,23.26,99.46,Lempung,38.71,0.952,Subur
959,7.25,0.484,55.79,0.453,4.09,33.38,99.16,Lempung,37.73,0.925,Subur
960,8.77,0.011,6.73,0.059,1.79,7.16,18.18,Pasir,69.79,1.876,Tidak Subur
961,6.02,0.495,18.13,0.43,4.96,34.14,85.03,Lempung Berliat,41.05,1.157,Subur
962,6.75,0.416,35.6,0.8,2.51,34.52,94.36,Lempung Berpasir,29.27,0.96,Subur
963,3.57,,11.31,0.119,1.84,7.12,16.26,Liat,18.38,1.822,Tidak Subur
964,6.92,0.288,49.82,0.402,,25.1,64.82,Lempung,26.71,1.036,Subur
965,5.06,0.09,11.8,,1.88,17.06,42.07,Liat,19.13,1.879,Tidak Subur
966,8.02,0.114,9.36,0.256,1.16,5.31,34.06,Debu,72.11,1.843,Tidak Subur
967,6.04,0.212,49.45,0.49,3.45,33.57,67.98,Lempung,43.25,1.012,Subur
968,6.12,0.462,47.09,0.662,4.18,36.01,69.85,Lempung Berliat,34.95,1.016,Subur
969,6.86,0.229,29.26,,3.06,30.43,93.45,Lempung Berpasir,,1.132,Subur
970,6.22,0.483,40.97,,2.54,41.84,96.38,Lempung Berliat,25.38,0.935,Subur
971,6.27,0.258,49.14,0.638,2.45,25.83,67.19,Lempung,36.31,0.959,Subur
972,7.74,0.085,6.65,0.244,1.44,6.71,54.21,Debu,74.56,1.571,Tidak Subur
973,6.55,0.349,,0.561,4,37.08,85.5,Lempung Berpasir,35.78,1.044,Subur
974,6.6,0.269,44.46,0.514,2.72,24.81,75.34,,34.88,1.116,Subur
975,8.85,0.158,,0.25,1.49,11.94,42.94,Liat,62.95,1.594,Tidak Subur
976,7.16,0.394,17.97,0.582,4.4,23.39,77.68,Lempung Berpasir,26.91,1.186,Subur
977,6.38,,33.5,0.686,,34.5,61.17,Lempung Berliat,34.9,,Subur
978,8.42,0.031,1.16,0.249,0.88,16.17,31.52,Liat,59.58,1.704,Tidak Subur
979,7.72,0.032,,0.081,1.15,6.57,57.4,Liat,71.36,1.786,Tidak Subur
980,4.31,0.196,8.87,0.151,1.2,9.05,32.09,Pasir,10.66,1.427,Tidak Subur
981,7.13,0.454,18.46,0.341,4.8,26.88,90.2,Lempung Berpasir,40.44,1.109,Subur
982,7.46,0.382,53.62,,3.67,43.31,92.07,Lempung,30.76,1.085,Subur
983,8.11,,4.36,0.224,,12.09,52.1,Liat,65,1.596,Tidak Subur
984,7.5,0.387,52.28,0.699,2.6,23.34,96.07,Lempung,25.36,1.18,Subur
985,6.4,0.332,15.56,0.383,,30,64.23,Lempung Berliat,32,1.17,Subur
986,7.11,0.239,35.61,0.393,3.26,23.53,77.11,Lempung Berpasir,32.77,1.121,Subur
987,6.88,0.395,58.23,0.588,4.63,26.74,97.55,Lempung,34.92,0.927,Subur
988,7.87,0.142,10.67,0.239,,15.61,21.39,Pasir,55.33,1.812,Tidak Subur
989,4.72,0.177,12.31,0.282,1.21,12.92,13,Pasir,18.96,1.741,Tidak Subur
990,6.14,0.462,35.43,0.32,,33.15,97.63,Lempung Berpasir,32.6,1.053,Subur
991,7.11,0.308,57.98,0.676,4.85,34.46,67.73,Lempung,41.51,1.183,Subur
992,8.48,0.13,8.09,0.168,0.8,7.54,20.56,Pasir,70.75,,Tidak Subur
993,6.13,0.415,30.25,0.702,3.79,20.68,72.46,Lempung Berpasir,41.57,0.93,Subur
994,4.77,0.126,10.92,0.21,1,13.03,55.25,,6.2,1.487,Tidak Subur
995,8.55,0.167,5.03,0.27,1.9,12.65,15.89,Pasir,74.71,1.668,Tidak Subur
996,7.18,0.348,26.71,0.487,4.47,33.19,70.51,Lempung,33.12,1.015,Subur
997,8.74,,7.08,0.176,1.2,5.34,50.52,Liat,61.3,1.877,Tidak Subur
998,6.52,0.227,15.06,0.795,3.54,36.92,94.28,Lempung,42.78,1.044,Subur
999,4.94,0.078,13.73,0.093,1.87,7.84,28.62,Liat,7.68,1.471,Tidak Subur
1000,6.95,0.39,40.22,0.463,4.19,43.24,97.5,Lempung,29.15,1.143,Subur
1001,6.13,0.491,,0.471,4.62,31.51,70.75,Lempung Berpasir,30.4,0.951,Subur
1002,6.93,0.46,,,4.27,36.16,95.25,Lempung Berpasir,30.37,0.915,Subur
1003,6.21,0.338,38.12,0.631,3.87,28.46,65.46,Lempung Berpasir,40.63,,Subur
1004,6.21,0.23,,0.497,2.98,39.13,96.46,Lempung,44.55,1.184,Subur
1005,7.22,,58.02,0.315,2.02,32.3,60.4,Lempung,44.44,1.179,Subur
1006,6.69,0.361,38,0.391,4.69,34.94,64.67,Lempung Berpasir,33.16,1.132,Subur
1007,8,0.024,1.94,0.184,1.79,5.28,22.86,Pasir,65.71,1.412,Tidak Subur
1008,4.24,0.155,4.01,0.074,0.32,11.9,29.02,Debu,16.75,1.461,Tidak Subur
1009,7.91,,1.47,0.22,1.46,8.51,27.78,Pasir,,1.613,Tidak Subur
1010,6.13,0.245,50.44,0.786,4.84,25.29,76.65,,,1.154,Subur
1011,6.9,0.422,26.23,0.612,2.46,28.5,84.52,Lempung Berpasir,43.45,1.031,Subur
1012,4.31,0.19,10.93,0.261,0.32,14.75,58.65,Liat,5.7,,Tidak Subur
1013,5.33,0.155,3.55,,,18.9,25.92,Debu,17.48,1.777,Tidak Subur
1014,7.3,0.328,,0.634,2.48,41.46,62.82,Lempung Berpasir,35.4,1.173,Subur
1015,7.07,0.256,47.13,0.333,4.81,26.98,80.38,Lempung Berpasir,38.92,1.165,Subur
1016,6.23,0.401,49.17,0.716,2.8,22.2,98.49,,32.27,1.002,Subur
1017,6.14,0.335,19.34,0.342,,24.2,67.62,Lempung,26.95,1.06,Subur
1018,5.4,,12.85,0.16,1.77,5.57,14.33,Pasir,,1.754,Tidak Subur
1019,7.01,0.37,33.34,0.542,3.95,21.23,80.11,Lempung,32.47,0.91,Subur
1020,7.34,0.495,28.38,0.353,3.4,23.79,91.23,Lempung Berliat,36.79,1.015,Subur
1021,6.66,0.301,26.29,0.559,3.73,43.07,94.66,Lempung Berpasir,44.46,0.964,Subur
1022,6.34,0.375,53.07,0.373,2.64,41.7,98.69,Lempung Berpasir,,1.004,Subur
1023,7.37,0.434,41.23,0.57,4.27,32.55,81.77,Lempung,25.49,1.11,Subur
1024,6.02,0.313,34.14,,2.27,43.81,72.8,Lempung,26.5,1.149,Subur
1025,4.37,0.139,2.48,0.149,0.99,5.41,12.79,Pasir,12.57,1.713,Tidak Subur
1026,4.4,0.013,10.03,0.25,1.13,11.13,54.43,Pasir,,,Tidak Subur
1027,8.34,0.129,8.6,0.198,0.41,17.24,20.47,Liat,56.87,1.727,Tidak Subur
1028,6.27,,56.33,0.538,3.06,22.34,64.85,Lempung,,0.988,Subur
1029,4.29,0.154,11.15,0.261,1.85,11.76,45.7,Liat,15.63,1.492,Tidak Subur
1030,8.4,0.043,6.92,0.184,1.39,8.36,56.11,Debu,70.54,1.521,Tidak Subur
1031,7.87,0.153,4.09,0.175,1.22,15.06,33.2,Pasir,64.63,1.748,Tidak Subur
1032,7.48,0.36,54.61,0.551,,22.64,77.67,Lempung Berpasir,33.24,0.977,Subur
1033,5.35,0.037,9.02,0.212,0.29,17.71,57.42,Debu,,1.418,Tidak Subur
1034,7.25,0.341,59.68,0.409,4.91,32.72,71.1,Lempung,32.91,1.067,Subur
1035,6.64,0.356,41.78,0.562,,23.92,68.71,Lempung Berliat,38.17,1.032,Subur
1036,8.05,0.075,9.51,0.063,1.09,18.14,30.93,Pasir,63.11,1.593,Tidak Subur
1037,6.09,0.496,,0.719,2.95,31.12,77.44,Lempung,27.61,1.185,Subur
1038,7.35,0.42,21.43,0.545,3.28,29,89.96,Lempung,39.81,0.979,Subur
1039,8.1,0.047,,0.058,0.38,8.71,42.43,Pasir,58.83,1.851,Tidak Subur
1040,6.56,,34.52,0.409,2.44,40.51,79.4,Lempung,35.05,1.017,Subur
1041,4.49,0.17,5.75,0.178,1.52,7.37,12.47,Liat,15.4,1.769,Tidak Subur
1042,4.56,0.145,6.89,0.252,0.33,13.98,52.3,Liat,5.92,1.655,Tidak Subur
1043,6.59,0.29,41.93,0.477,3.92,42.11,99.44,Lempung,27.52,1.167,Subur
1044,4.66,0.11,11.43,0.18,0.31,17.52,26.71,Pasir,18.73,1.49,Tidak Subur
1045,4.6,0.037,13.81,0.125,0.42,18.12,41.21,Liat,12.51,1.83,Tidak Subur
1046,4.51,0.158,3.8,0.075,1.42,16.73,34.61,Liat,16.95,1.886,Tidak Subur
1047,6.21,0.279,24.06,0.308,2.38,31.87,79.46,,34.62,,Subur
1048,6.68,0.484,,0.328,4.02,43.25,63.63,Lempung Berpasir,29.6,1.055,Subur
1049,6.43,0.287,36.2,0.434,4.76,30.16,91.33,Lempung Berliat,44.02,,Subur
1050,7.27,,48.32,0.428,3.28,23.64,86.77,Lempung Berpasir,27.73,1.09,Subur
1051,7.26,0.432,43.83,0.529,,44.65,62.08,Lempung,33.04,1.148,Subur
1052,4.31,0.035,3.83,0.177,0.73,17.58,33.59,Liat,13.53,1.843,Tidak Subur
1053,6.49,0.346,37.4,0.64,2.18,32.62,78.31,Lempung,38.21,0.941,Subur
1054,8.26,0.173,,0.235,1.63,9.22,46.97,Liat,,1.886,Tidak Subur
1055,7.7,,6.34,0.197,0.77,18.15,57.85,Debu,64.8,1.876,Tidak Subur
1056,8.98,0.199,11.62,0.242,0.32,11.09,53.25,Debu,60.07,1.524,Tidak Subur
1057,8.58,0.052,13.5,0.167,,18.09,13.05,Liat,57.52,1.865,Tidak Subur
1058,8.97,0.133,,0.126,1.88,11.49,45.82,Pasir,68.85,1.681,Tidak Subur
1059,4.69,0.014,7.16,0.077,1.07,14.78,33.46,Debu,5.79,1.463,Tidak Subur
1060,6.69,0.391,28.28,0.646,4.29,33.59,69.61,Lempung Berpasir,29.67,1.026,Subur
1061,8.65,0.055,1.45,0.263,1.63,15.3,35.77,Pasir,59.15,1.439,Tidak Subur
1062,8.96,0.035,11.13,0.211,0.27,6.08,41.03,Pasir,,1.763,Tidak Subur
1063,5.23,0.038,10.74,0.06,1.32,9.26,44.43,Debu,11.8,1.502,Tidak Subur
1064,3.51,0.062,7.53,0.123,0.91,14.04,32.53,Liat,12.62,1.866,Tidak Subur
1065,5.4,0.032,9.13,0.25,0.51,10.35,26.64,Pasir,18.05,1.53,Tidak Subur
1066,3.64,0.035,3.75,0.224,0.93,15.71,58.17,Pasir,14.42,1.822,Tidak Subur
1067,8.11,0.145,3.83,0.132,1.85,15.63,38.33,Liat,71.95,1.649,Tidak Subur
1068,6.23,0.457,28.29,0.519,4.13,39.54,90.27,Lempung,36.18,1.123,Subur
1069,7.41,0.423,40.97,0.77,2.68,32.88,78.22,Lempung,35.34,0.985,Subur
1070,6.11,0.407,35.31,0.353,2.83,25.92,81.76,Lempung Berpasir,,1.129,Subur
1071,6.77,0.455,59.16,0.621,2.47,21.32,65.16,Lempung Berliat,29.55,0.934,Subur
1072,4.05,0.104,7.28,0.13,1.42,16.17,44.08,Liat,10.54,1.622,Tidak Subur
1073,6.7,0.284,,0.374,3.29,20.86,99.94,Lempung Berpasir,25.45,1.038,Subur
1074,8.31,0.111,4.91,0.145,1.39,16.24,45.39,Liat,65.83,1.559,Tidak Subur
1075,7.38,0.312,45.11,0.784,2.05,36.46,79.72,Lempung,32.95,1.185,Subur
1076,6.4,0.498,57.78,0.446,4.26,20.44,63.42,Lempung,,1.031,Subur
1077,6.81,0.225,38.07,0.58,4.27,39.05,79.41,Lempung,39.17,1.154,Subur
1078,6.19,0.495,53.12,0.521,3.31,22.33,69.23,Lempung,42.67,0.951,Subur
1079,6.93,0.261,31.98,0.425,,21.22,92.73,Lempung Berpasir,25.41,1.016,Subur
1080,7.3,0.456,49.95,0.306,3.23,41.19,62.92,Lempung,30.15,,Subur
1081,6.91,0.296,58.21,0.792,2.57,40.4,78.57,Lempung,44.84,1.103,Subur
1082,5.37,0.042,3.08,0.174,,11.94,47.46,Pasir,19.02,1.559,Tidak Subur
1083,7.28,0.268,35.53,0.754,3.8,28.37,66.73,Lempung,43.82,1.09,Subur
1084,6.78,0.217,46.85,0.473,3.69,33.22,80.25,Lempung,25.62,1.071,Subur
1085,7.92,0.057,8.97,0.285,0.89,5.9,35.89,Liat,61.64,1.546,Tidak Subur
1086,6.62,0.325,,,4.9,29.17,79.72,Lempung,28.97,,Subur
1087,6.94,0.222,15.46,0.421,3.89,37.32,88.39,Lempung Berliat,,1.157,Subur
1088,5.36,0.166,10.93,0.277,1.16,10.5,13.42,Debu,15.17,1.826,Tidak Subur
1089,6.97,,18.55,0.608,4.11,20.96,94.67,Lempung Berpasir,37.58,1.049,Subur
1090,6.34,,58.33,0.647,2.7,38.9,74.03,Lempung Berpasir,36.16,,Subur
1091,7.61,0.068,6.45,0.275,1.46,14.07,28.84,Liat,69.92,1.66,Tidak Subur
1092,4.58,0.141,2.33,0.263,1.37,8.77,56.29,Debu,8.42,1.856,Tidak Subur
1093,6.92,0.407,26.68,0.669,2.89,42.9,72.68,Lempung Berpasir,39.33,,Subur
1094,7.71,0.089,3.71,0.277,1.87,7.91,17.98,Liat,69.38,1.817,Tidak Subur
1095,8.26,0.18,10.84,0.099,0.99,7.89,42.67,Pasir,57.27,1.776,Tidak Subur
1096,7.9,0.037,2.23,0.056,1.69,14.59,25.23,Liat,74.83,1.737,Tidak Subur
1097,7.26,0.239,31.14,0.35,3.79,31.46,67.48,Lempung Berpasir,33.53,1.102,Subur
1098,6.87,0.272,55.63,0.423,3.08,37.53,82.16,Lempung,40.94,1.178,Subur
1099,6.18,0.236,17.17,0.68,4.12,34.91,70.71,Lempung,35.72,1.013,Subur
1100,8.32,0.04,13.44,,0.81,10.31,27.19,Liat,,1.845,Tidak Subur
1101,6.83,0.289,15.64,0.45,2.92,39.88,60.36,Lempung Berpasir,40.75,,Subur
1102,8.53,0.034,9.75,0.117,0.54,8.83,11.75,Pasir,56.9,1.688,Tidak Subur
1103,6.13,0.313,29.29,0.439,3.11,36.39,92.28,Lempung Berliat,28.09,0.913,Subur
1104,5.16,,3.53,0.281,0.46,11.83,55.94,Pasir,15.18,1.543,Tidak Subur
1105,5.37,0.067,6.26,0.278,0.45,18.05,52.92,Liat,5.96,1.615,Tidak Subur
1106,3.99,0.014,12.84,0.198,1.01,14.15,41.09,Debu,11.3,1.768,Tidak Subur
1107,6.58,0.463,17.8,0.449,2.88,43.32,76.14,Lempung Berliat,37.64,1.177,Subur
1108,5.29,0.093,2.3,0.222,1.61,11.52,39.37,Pasir,19.09,1.473,Tidak Subur
1109,7.14,0.386,24.17,0.5,3.44,40.85,73.55,Lempung Berpasir,,1.046,Subur
1110,6.37,0.27,21.15,0.72,2.32,37.58,73.28,Lempung Berpasir,39.14,0.914,Subur
1111,7.34,0.389,26.45,0.526,2.49,44.7,93.07,Lempung Berpasir,31.71,1.025,Subur
1112,4.44,0.092,11.66,0.155,1.12,5.12,58.91,Debu,12.8,1.59,Tidak Subur
1113,6.86,0.382,21.4,0.63,2.55,32.46,86.94,Lempung Berliat,,1.106,Subur
1114,4.64,0.095,,0.219,1.32,17.01,54.52,Liat,12.01,1.892,Tidak Subur
1115,4.37,0.026,5.71,0.216,0.8,16.01,41.83,Pasir,9.39,1.796,Tidak Subur
1116,7.5,0.267,26.3,0.581,2.42,38.4,77.95,Lempung,38.14,1.01,Subur
1117,8.55,0.013,11.95,0.108,1.8,18.86,48.57,Liat,61.64,1.743,Tidak Subur
1118,6.43,0.447,21.33,0.619,3.69,44.25,99.06,Lempung Berpasir,34.99,1.183,Subur
1119,6.05,0.302,38.55,0.357,3.4,24.8,77.1,Lempung Berpasir,25.82,1.193,Subur
1120,6.64,0.37,45.06,0.603,4.03,35.26,91.47,Lempung,25,,Subur
1121,6.91,0.352,,0.638,2.32,44.42,63.62,Lempung Berliat,38.28,1.18,Subur
1122,7.41,0.482,22.46,0.434,,24.64,81.43,Lempung Berliat,44.21,0.912,Subur
1123,6.54,0.35,36.94,0.377,4.44,21.88,63.44,Lempung,35.27,0.932,Subur
1124,6.11,0.313,,0.425,,43.01,64.27,Lempung,33.98,0.909,Subur
1125,7.83,,9.66,0.115,1.71,10.65,35.33,Liat,65.07,,Tidak Subur
1126,8.81,0.19,9.84,0.183,1.22,8.41,12.68,Liat,63.75,1.61,Tidak Subur
1127,7.32,0.48,28.68,0.425,,43.38,98.8,Lempung Berpasir,44.92,1.103,Subur
1128,7.05,0.354,47.92,0.669,2.97,21.99,97.33,Lempung Berpasir,44.28,0.997,Subur
1129,6.13,0.437,,0.722,,33.33,76.87,Lempung Berliat,43.87,0.912,Subur
1130,7.4,,18.29,0.566,2.49,23.39,98.46,Lempung Berliat,27.74,1.178,Subur
1131,6.18,0.234,40.19,0.766,3.99,22.49,81.59,Lempung Berpasir,44.42,1.056,Subur
1132,7.29,0.438,16.22,0.668,4.08,21.87,77.89,Lempung,31.28,,Subur
1133,7.65,0.062,13.28,0.052,1.55,18.72,24.54,Liat,72.21,1.613,Tidak Subur
1134,7.75,0.168,2.02,0.163,0.76,10.82,11.29,Liat,70.6,1.863,Tidak Subur
1135,6.91,0.241,49.48,0.705,3.55,36.24,92.2,Lempung,38.48,1.004,Subur
1136,8.59,0.141,5.18,,,13.66,45.2,Liat,74.5,,Tidak Subur
1137,6.11,0.35,51.77,0.413,4.52,21.11,93.4,Lempung,36.07,1.173,Subur
1138,7.25,0.447,,0.546,3.17,44.62,79.56,Lempung,32.26,1.146,Subur
1139,7.45,0.477,41.95,0.735,3.75,31.42,88.8,Lempung,43.26,0.96,Subur
1140,7.48,0.411,26.67,0.702,,28.7,98.75,Lempung Berpasir,36.3,1.191,Subur
1141,8.51,0.151,,,0.87,11.51,52.76,Liat,71.44,1.741,Tidak Subur
1142,6.85,0.454,16.62,0.502,4.75,20.5,96.38,,36.49,1,Subur
1143,4.13,0.145,7.62,0.091,1.83,12.5,14.97,Pasir,7.76,1.773,Tidak Subur
1144,6.64,0.264,43.56,0.351,2.24,26.56,94.1,Lempung,28.82,0.926,Subur
1145,8.54,0.128,,0.265,0.48,12.16,55.93,Liat,69.09,1.834,Tidak Subur
1146,7.22,0.266,39.5,0.676,3.05,26.65,60.15,Lempung,26.6,0.906,Subur
1147,3.52,0.191,8.75,0.114,1.76,17.93,58.82,Debu,6.48,1.579,Tidak Subur
1148,6.47,0.466,22.11,0.757,3.64,34.27,72.77,Lempung Berliat,32.78,0.997,Subur
1149,6.13,0.25,58.25,,2.22,34.9,90.99,Lempung,44.23,0.989,Subur
1150,7.06,0.496,54.58,0.599,4.05,44.31,72.28,Lempung Berpasir,41.67,,Subur
1151,8.07,0.011,,0.111,0.82,11.42,12.09,Liat,70.54,1.655,Tidak Subur
1152,5.02,0.045,7.15,0.212,1.78,6.45,45.01,Debu,6.57,1.763,Tidak Subur
1153,7.15,0.324,34.02,0.636,4.28,27.14,84.61,Lempung,33.88,0.909,Subur
1154,8,0.032,3.18,0.086,0.29,18.2,26.09,Liat,,1.461,Tidak Subur
1155,8.87,0.074,1.93,0.089,1.05,13.63,38.78,Pasir,61.97,1.834,Tidak Subur
